id,created_at,text,location_name,country,place_type,username,name,user_location,retweet_count,favorite_count,lang
429505116433956864,Sat Feb 01 06:42:54 +0000 2014,"Police union wants lock out zones expanded:
http://t.co/hu8zOehB7G",,,,Aus_Crime_News,AustralianCrimeNews,FACEBOOK,,,en
429504618939158528,Sat Feb 01 06:40:55 +0000 2014,Alert issued in Petaluma after men posing as police enter woman's home:  http://t.co/Gq7RrjkwXs,,,,BayAreaBizness,Bay Area ,,,,en
429503319321493504,Sat Feb 01 06:35:45 +0000 2014,Bay Area journos on crime beat: there are 4 police cars &amp; yellow tape at sunny spot med. MJ shop on 17th right now. Don't know what's up.,,,,joemullin,Joe Mullin,"San Francisco, CA",,,en
429503199959986177,Sat Feb 01 06:35:17 +0000 2014,"RT @Darius_Suber95: Police are supposed to be fighting crime on the streets, not sitting in a hiding spot waiting to give someone a hoe ass…",,,,StevenRoark87,Steven Roark,,8.0,,en
429502545145237504,Sat Feb 01 06:32:41 +0000 2014,"Peel #Police - Male Arrested on Attempt Murder Warrant http://t.co/tDQE83bFXX
 #crime",,,,OntNewsToday,Ontario News Today,Ontario,,,en
429502437460680704,Sat Feb 01 06:32:15 +0000 2014,Belmar named St. Louis County police chief http://t.co/MXbeCRaJ5K,,,,stltoday,STLtoday,"St. Louis, Mo.",,,en
429502289481449472,Sat Feb 01 06:31:40 +0000 2014,RT @geophyraj: Is Mr @ArvindKejriwal going to blame Delhi Police for every crime in the city? Then what was Shiela Dikshit's fault?,,,,arpitupadhayay,Arpit Upadhayay,Hell,23.0,,en
429502207763836929,Sat Feb 01 06:31:20 +0000 2014,"""Men posing as police: Petaluma home invasion.""

Uh, I'm not letting any cop in w/out a badge number confirmed.

http://t.co/90vu7IBTx1",,,,chiweethedog,#NBAGenius™,"• Afghanistan, CA •",,,en
429502122015481856,Sat Feb 01 06:31:00 +0000 2014,"#NidoTaniam paid for breaking the glass, why were the shopkeepers not made to pay for their crime of beating him.#Delhi police must answer",,,,urmilachauhan,Urmila Chauhan,"Capital, India",,,en
429501723934461952,Sat Feb 01 06:29:25 +0000 2014,The Times Picayune - Police investigating shooting in Pontchartrain Park http://t.co/iVehmyxnys,,,,newslouisiana,Louisiana News,,,,en
429501695442186240,Sat Feb 01 06:29:18 +0000 2014,"#NidoTaniam paid for breaking the glass, why were the shopkeepers not made to pay for their crime of beating him.#Delhi police must answer",,,,Kewrious,Kewrious,,,,en
429501574805585920,Sat Feb 01 06:28:49 +0000 2014,RT @blackmagicgal1: So AAP will continue to cry foul at Delhi police whenever a crime is reported rather than take responsibility like a go…,,,,rajbharat,Raj Bharat,"Chennai, India",7.0,,en
429501521940598784,Sat Feb 01 06:28:37 +0000 2014,#Justice U.S. Marshals Task Force and Toledo Police Arrest Final Suspect in Murder Case: Tole... http://t.co/c5u4Mw7Feq #crime #HiTechCJ,,,,AmerHeroesRadio,American Hero Radio,"San Dimas, CA",,,en
429501272786354176,Sat Feb 01 06:27:37 +0000 2014,Alert issued in Petaluma after men posing as police enter woman's home http://t.co/lVcwrHXthc #bayarea,,,,SFnewsnow,San Francisco News,"San Francisco, California",,,en
429501173670739968,Sat Feb 01 06:27:14 +0000 2014,Watching crime and investigation and one of the police audio analysis investigators is wearing a pair of beats audio headphones.,,,,Secretss_,lexi.aoling,/dev/null,,,en
429500659553931264,Sat Feb 01 06:25:11 +0000 2014,Alert issued in Petaluma after men posing as police enter woman's home: Petaluma police issued a prowler alert... http://t.co/2iQRugpWfn,,,,burlingame_news,Burlingame News,"Burlingame, CA",,,en
429500626821996544,Sat Feb 01 06:25:03 +0000 2014,via @NOLAnews Police investigating shooting in Pontchartrain Park http://t.co/ikLjlj9V6V,,,,HSVLaw,George Vourvoulias,"New Orleans, LA",,,en
429500250303111168,Sat Feb 01 06:23:34 +0000 2014,Police Chief James Craig: More guns could equal less crime in Detroit http://t.co/CACeNrG6Kt,,,,noblockheads,Sarah aka Aunt Sugar,Somewhere in SE Michigan,,,en
429499974507061248,Sat Feb 01 06:22:28 +0000 2014,Again port st lucie!i know there's crime everywhere but they just stupid here http://t.co/qdSW6gWSA4,,,,BodBuildChem,BodyBuildingChemstry,Florida,,,en
429499957083897856,Sat Feb 01 06:22:24 +0000 2014,Crime reports offered online http://t.co/gW087y5ELT,,,,ohminews,ohminews,"Toledo, OH",,,en
429499927874789376,Sat Feb 01 06:22:17 +0000 2014,Crime reports offered online http://t.co/tmzdPaJaWi,,,,westerie,Western Lake Erie,"Toledo, OH",,,en
429499891593658368,Sat Feb 01 06:22:08 +0000 2014,"Safeguarding: Investigation into 'why Lincolnshire police marked one third of all reported rapes as 'no crime'':
http://t.co/MvMGf8Ehzv",,,,davidbexhill,David E P Dennis,,,1.0,en
429499566778351616,Sat Feb 01 06:20:51 +0000 2014,Alert issued in Petaluma after men posing as police enter woman's home: Petaluma police issued a prowler alert... http://t.co/Gq7RrjkwXs,,,,BayAreaBizness,Bay Area ,,,,en
429499480954531841,Sat Feb 01 06:20:30 +0000 2014,RT @Sissy2814: Some ppl are unfit to deserve such loyal companion. This is a crime if you see this call police. http://t.co/IDcRLIDO5L WHO …,,,,ToadiedeOgre,ToadiedeOgre,"Sacramento, CA.",8.0,,en
429499000081760256,Sat Feb 01 06:18:36 +0000 2014,RT @Sissy2814: Some ppl are unfit to deserve such loyal companion. This is a crime if you see this call police. http://t.co/IDcRLIDO5L WHO …,,,,LOCO_NUTT,Loco_NUTT,,8.0,,en
429498405837369344,Sat Feb 01 06:16:14 +0000 2014,Suburban Crime Log: 2-01 http://t.co/bCWfqPZo0W,,,,westerie,Western Lake Erie,"Toledo, OH",,,in
